key	sw
# COMMON
common.back	RUDI
common.continue	ENDELEA
common.cancel	GHAIRI
common.ok	SAWA
common.on	WASHA
common.off	ZIMA
common.na	HAIPO
common.none	HAKUNA
common.versus	V
common.page	UKURASA
common.previous_page	UKURASA NYUMA
common.next_page	UKURASA MBELE
common.no_career_data	HAKUNA DATA YA KAZI
common.no_squad_data	HAKUNA DATA YA KIKOSI
common.player_not_available	MCHEZAJI HAYUPO
common.player	MCHEZAJI
common.budget	BAJETI
common.sort	PANGA
common.sort_by	PANGA KWA
common.value	THAMANI
common.skill	UJUZI
common.age	UMRI
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	NAF
col.team	TIMU
col.name	JINA
col.number	NA
col.number_hash	#
col.p	M
col.w	U
col.d	S
col.l	K
col.gf	MF
col.ga	MD
col.pts	PTS
col.skl	UJZ
col.skill	UJUZI
col.pot	UWZ
col.sta	NGV
col.form	F
col.fit	AFY
col.val	THM
col.nat	TAI
col.club	KLB
col.price	BEI
col.spec	UTA
col.quality	U
col.wage	MSH
col.fee	ADA
col.amount	KIASI
col.exp	MUD
col.skill_row	PS NY PG KC DH KA MZ
# HOME
home.title	O P E N   S W O S
home.play_match	CHEZA MECHI
home.competitions	MASHINDANO
home.multiplayer	WACHEZAJI WENGI
home.team_setup	MPANGILIO TIMU
home.options	MIPANGILIO
home.career	KAZI
home.exit	TOKA
home.credit	NA GRZEGORZ KORYCKI
home.continue_prefix	ENDELEA:
# QUIT
quit.title	TOKA
quit.are_you_sure	UNA UHAKIKA?
quit.quit_to_windows	TOKA KWENDA WINDOWS
quit.return_to_game	RUDI KWENYE MCHEZO
# FRIENDLY
friendly.title	MECHI YA KIRAFIKI
friendly.home	NYUMBANI
friendly.away	UGENINI
friendly.swap_teams	BADILISHA TIMU
friendly.pitch	UWANJA
friendly.opponent	MPINZANI
friendly.half_length	UREFU KIPINDI
friendly.game_speed	KASI YA MCHEZO
friendly.kick_off	ANZA MECHI
friendly.context	KIRAFIKI
# VERSUS
