key	sv
# COMMON
common.back	TILLBAKA
common.continue	FORTSATT
common.cancel	AVBRYT
common.ok	OK
common.on	PA
common.off	AV
common.na	-
common.none	INGEN
common.versus	V
common.page	SIDA
common.previous_page	FOREG SIDA
common.next_page	NASTA SIDA
common.no_career_data	INGEN KARRIARDATA
common.no_squad_data	INGEN TRUPPDATA
common.player_not_available	SPELARE EJ TILLGANGLIG
common.player	SPELARE
common.budget	BUDGET
common.sort	SORTERA
common.sort_by	SORTERA EFTER
common.value	VARDE
common.skill	SKICKL
common.age	ALDER
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POS
col.team	LAG
col.name	NAMN
col.number	NR
col.number_hash	#
col.p	S
col.w	V
col.d	O
col.l	F
col.gf	GM
col.ga	IM
col.pts	P
col.skl	SKL
col.skill	SKICKL
col.pot	POT
col.sta	KOND
col.form	F
col.fit	FIT
col.val	VAR
col.nat	NAT
col.club	KLUBB
col.price	PRIS
col.spec	SPEC
col.quality	K
col.wage	LON
col.fee	AVG
col.amount	BELOPP
col.exp	GAR
col.skill_row	PA TA SK NI KO SN AV
# HOME
home.title	O P E N   S W O S
home.play_match	SPELA MATCH
home.competitions	TAVLINGAR
home.multiplayer	FLERSPELARE
home.team_setup	LAGUPPSTALLNING
home.options	INSTALLNINGAR
home.career	KARRIAR
home.exit	AVSLUTA
home.credit	AV GRZEGORZ KORYCKI
home.continue_prefix	FORTSATT:
# QUIT
quit.title	AVSLUTA
quit.are_you_sure	AR DU SAKER?
quit.quit_to_windows	AVSLUTA TILL WINDOWS
quit.return_to_game	ATER TILL SPEL
# FRIENDLY
friendly.title	TRANINGSMATCH
friendly.home	HEMMA
friendly.away	BORTA
friendly.swap_teams	BYT LAG
friendly.pitch	PLAN
friendly.opponent	MOTSTANDARE
friendly.half_length	HALVLEK
friendly.game_speed	SPELHASTIGHET
friendly.kick_off	AVSPARK
friendly.context	TRANINGSMATCH
# VERSUS
versus.play	SPELA
versus.view_result	VISA RESULTAT
# STADIUM
stadium.title	LAG
stadium.kick_off	AVSPARK
stadium.edit_lineup	ANDRA LAG
# OPTIONS
opt.title	INSTALLNINGAR
opt.page	SIDA
opt.language	SPRAK
opt.half_length	HALVLEK
opt.game_speed	SPELHASTIGHET
opt.opponent	MOTSTANDARE
opt.pitch	PLAN
opt.skill_scaling	SKICKLIGHETSSKALA
opt.skill_scaling_hint	TROGEN SWOS SPELARPRIS-SKICKLIGHETSSKALA
opt.all_teams_equal	ALLA LAG LIKA
