key	hr
# COMMON
common.back	NAZAD
common.continue	NASTAVI
common.cancel	ODUSTANI
common.ok	OK
common.on	UKLJ
common.off	ISKLJ
common.na	N/D
common.none	NEMA
common.versus	V
common.page	STR
common.previous_page	PRETHODNA STR
common.next_page	SLJEDECA STR
common.no_career_data	NEMA PODATAKA
common.no_squad_data	NEMA MOMCADI
common.player_not_available	IGRAC NEDOSTUPAN
common.player	IGRAC
common.budget	BUDZET
common.sort	SORTIRAJ
common.sort_by	SORTIRAJ PO
common.value	VRIJEDNOST
common.skill	VJESTINA
common.age	DOB
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POZ
col.team	KLUB
col.name	IME
col.number	BR
col.number_hash	#
col.p	O
col.w	P
col.d	N
col.l	I
col.gf	ZG
col.ga	PG
col.pts	BOD
col.skl	VJE
col.skill	VJEST
col.pot	POT
col.sta	IZD
col.form	F
col.fit	SPR
col.val	VRIJ
col.nat	NAC
col.club	KLUB
col.price	CIJENA
col.spec	SPEC
col.quality	K
col.wage	PLACA
col.fee	NAKN
col.amount	IZNOS
col.exp	IST
col.skill_row	DO OD SU GL KO BR ZA
# HOME
home.title	O P E N   S W O S
home.play_match	IGRAJ MEC
home.competitions	NATJECANJA
home.multiplayer	VISE IGRACA
home.team_setup	POSTAVA EKIPE
home.options	OPCIJE
home.career	KARIJERA
home.exit	IZLAZ
home.credit	AUTOR GRZEGORZ KORYCKI
home.continue_prefix	NASTAVI:
# QUIT
quit.title	IZLAZ
quit.are_you_sure	JESTE LI SIGURNI?
quit.quit_to_windows	IZLAZ U WINDOWS
quit.return_to_game	NATRAG U IGRU
# FRIENDLY
friendly.title	PRIJATELJSKI MEC
friendly.home	DOMACIN
friendly.away	GOST
friendly.swap_teams	ZAMIJENI EKIPE
friendly.pitch	TEREN
friendly.opponent	PROTIVNIK
friendly.half_length	TRAJANJE POLU
friendly.game_speed	BRZINA IGRE
friendly.kick_off	POCETAK
friendly.context	PRIJATELJSKI
# VERSUS
versus.play	IGRAJ
versus.view_result	VIDI REZULTAT
# STADIUM
stadium.title	EKIPE
stadium.kick_off	POCETAK
stadium.edit_lineup	UREDI POSTAVU
# OPTIONS
opt.title	OPCIJE
