key	da
# COMMON
common.back	TILBAGE
common.continue	FORTSAET
common.cancel	ANNULLER
common.ok	OK
common.on	TIL
common.off	FRA
common.na	N/A
common.none	INGEN
common.versus	V
common.page	SIDE
common.previous_page	FORRIGE SIDE
common.next_page	NAESTE SIDE
common.no_career_data	INGEN KARRIEREDATA
common.no_squad_data	INGEN TRUPDATA
common.player_not_available	SPILLER UTILGAENGELIG
common.player	SPILLER
common.budget	BUDGET
common.sort	SORTER
common.sort_by	SORTER EFTER
common.value	VAERDI
common.skill	EVNE
common.age	ALDER
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POS
col.team	HOLD
col.name	NAVN
col.number	NR
col.number_hash	#
col.p	K
col.w	V
col.d	U
col.l	T
col.gf	MF
col.ga	MI
col.pts	P
col.skl	EVN
col.skill	EVNE
col.pot	POT
col.sta	UDH
col.form	F
col.fit	KON
col.val	VRD
col.nat	NAT
col.club	KLUB
col.price	PRIS
col.spec	SPEC
col.quality	K
col.wage	LON
col.fee	GEB
col.amount	BELOB
col.exp	UDL
col.skill_row	AF TA SK HO KO FA AS
# HOME
home.title	O P E N   S W O S
home.play_match	SPIL KAMP
home.competitions	TURNERINGER
home.multiplayer	FLERSPILLER
home.team_setup	HOLDOPSAETNING
home.options	INDSTILLINGER
home.career	KARRIERE
home.exit	AFSLUT
home.credit	AF GRZEGORZ KORYCKI
home.continue_prefix	FORTSAET:
# QUIT
quit.title	AFSLUT
quit.are_you_sure	ER DU SIKKER?
quit.quit_to_windows	AFSLUT TIL WINDOWS
quit.return_to_game	TILBAGE TIL SPIL
# FRIENDLY
friendly.title	VENSKABSKAMP
friendly.home	HJEMME
friendly.away	UDE
friendly.swap_teams	BYT HOLD
friendly.pitch	BANE
friendly.opponent	MODSTANDER
friendly.half_length	HALVLEG LAENGDE
friendly.game_speed	SPILFART
friendly.kick_off	AFSPARK
friendly.context	VENSKAB
# VERSUS
versus.play	SPIL
versus.view_result	SE RESULTAT
# STADIUM
stadium.title	HOLD
stadium.kick_off	AFSPARK
stadium.edit_lineup	RET OPSTILLING
# OPTIONS
opt.title	INDSTILLINGER
opt.page	SIDE
opt.language	SPROG
opt.half_length	HALVLEG LAENGDE
opt.game_speed	SPILFART
opt.opponent	MODSTANDER
opt.pitch	BANE
opt.skill_scaling	EVNESKALERING
opt.skill_scaling_hint	TRO SWOS SPILLERPRIS EVNESKALERING
opt.all_teams_equal	ALLE HOLD LIGE
opt.all_teams_equal_hint	UDLIGNER HOLDSTYRKE FOR SPILLERHOLD
opt.pre_match_menus	FORKAMP MENUER
opt.player_fatigue	SPILLERTRAETHED
opt.energy_bar	ENERGIBAR
opt.music	MUSIK
opt.music_hint	AMIGA / PC / EGEN MENUMUSIK
opt.sound	LYD
opt.sound_hint	PC ELLER AMIGA KAMPLYDE
opt.display	SKAERM
opt.display_hint	F11 SKIFTER  ALT+ENTER FULD SKAERM
# OPTION VALUES
val.pitch_none	(INGEN)
val.pitch_random	TILFAELDIG
val.opponent_ai	AI
val.opponent_player2	SPILLER 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	EGEN
val.music_off	FRA
val.length_whole_match_seconds	%dS REEL  (HELE KAMPEN)
val.length_whole_match_minutes	%d MIN REEL  (HELE KAMPEN)
val.display_windowed	VINDUE
val.display_full_fill	FULD FYLD
val.display_full_integer	FULD HELTAL
# LOCAL MULTIPLAYER
mp.title	LOKAL FLERSPILLER
mp.controls_hint	SPILLER 1: PILE+MELLEMRUM   SPILLER 2: WASD+SHIFT
mp.start	START 2-SPILLER KAMP
# PICKERS
pick.continent	KONTINENT
pick.country	LAND
pick.your_team	DIT HOLD
pick.all_countries	ALLE LANDE
pick.all	ALLE
pick.select_country	VAELG LAND
pick.select_continent	VAELG KONTINENT
pick.select_your_team	VAELG DIT HOLD
pick.home_team	HJEMMEHOLD
pick.away_team	UDEHOLD
pick.nothing_to_choose	INTET AT VAELGE
pick.item	EMNE
pick.more_down	MERE v
# DRAW CEREMONY
draw.title_suffix	LODTRAEKNING
# PLAY AGAIN
playagain.title	FULD TID
playagain.play_again	SPIL IGEN
playagain.exit	AFSLUT
# COMPETITIONS HUB
comp.title	TURNERINGER
comp.new_league	NY LIGA
comp.new_cup	NY POKAL
comp.new_tournament	NY TURNERING
comp.preset_competition	FAERDIG TURNERING
comp.new_career	NY KARRIERE
comp.load_game	INDLAES SPIL
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	NY LIGA
setup.cup_title	NY POKAL
setup.tournament_title	NY TURNERING
setup.size	STORRELSE
setup.teams_suffix	HOLD
setup.entrants	DELTAGERE
setup.entrants_same_division	SAMME DIVISION
setup.entrants_same_nation	SAMME NATION
setup.entrants_random	TILFAELDIG
setup.rounds	RUNDER
setup.rounds_single	ENKELT
setup.rounds_double	DOBBELT
setup.groups	GRUPPER
setup.groups_of_4_suffix	GRUPPER A 4
setup.create_league	OPRET LIGA
setup.create_cup	OPRET POKAL
setup.create_tournament	OPRET TURNERING
# CAREER SETUP
career.title	NY KARRIERE
career.blurb_seasons	LIGA OG NATIONAL POKAL HVER SAESON
career.blurb_promotion	VIND LIGAEN FOR OPRYKNING, BLIV SIDST OG RYK NED
career.start	START KARRIERE
# MANAGER NAME ENTRY
mgr.title	MANAGERNAVN
mgr.hint	SKRIV NAVN   VENSTRE/HOJRE TITEL   ENTER OK   ESC ANNULLER
mgr.title_row	TITEL
mgr.title_mr	HR
mgr.title_ms	FR
mgr.default_name	SPILLER
# COMPETITION DASHBOARD
dash.play_next_match	SPIL NAESTE KAMP
dash.continue	FORTSAET
dash.next_season	NAESTE SAESON
dash.table	TABEL
dash.fixtures	KAMPE
dash.squad	TRUP
dash.lineup	OPSTILLING
dash.transfers	TRANSFERS
dash.staff	STAB
dash.scouting	SPEJDNING
dash.record	REKORD
dash.save_as	GEM SOM
dash.retire	TRAEK DIG
dash.abandon	OPGIV
dash.management_record	LEDELSESREKORD
dash.status_retired	PENSIONERET
dash.status_champions	MESTRE:
dash.status_eliminated	ELIMINERET
dash.offers_prefix	TILBUD
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	NAESTE KAMP
result.title	FULD TID
result.label	RESULTAT
# MANAGEMENT RECORD
mrec.title	LEDELSESREKORD
mrec.title_of_prefix	LEDELSESREKORD FOR
mrec.career_over	KARRIERE SLUT
mrec.season	SAESON
mrec.div	DIV
mrec.trophies	TROFAEER
mrec.none_yet	INGEN ENDNU
mrec.history	HISTORIK
mrec.first_season	FORSTE SAESON I GANG
# RETIRE CONFIRM
retire.title	TRAEK DIG
retire.prompt	TRAEK DIG FRA LEDELSEN?
retire.confirm	TRAEK DIG
# PRESET COMPETITIONS
preset.title	FAERDIG TURNERING
preset.blurb	AEGTE TURNERINGER MED DERES AEGTE FELTER
preset.european_cup	EUROPA CUP
preset.uefa_cup	UEFA CUP
preset.cup_winners_cup	POKALVINDERNES CUP
preset.world_cup	VM
preset.european_championship	EM
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	HOLD KNOCKOUT
preset.groups_then_knockout_suffix	GRUPPER A 4 SA KNOCKOUT
preset.create	OPRET
# SAVE AS / LOAD GAME
save.title	GEM SOM
save.hint	SKRIV PLADSNAVN   ENTER OK   ESC ANNULLER
save.saved_as_prefix	GEMT SOM
load.title	INDLAES SPIL
load.delete_mode	SLETTETILSTAND
load.no_saved_games	INGEN GEMTE SPIL
# STANDINGS / FIXTURES
table.title	TABEL
table.group	GRUPPE
fixtures.title	KAMPPROGRAM
# TEAM SETUP
teamcfg.title	HOLDOPSAETNING
teamcfg.team	HOLD
teamcfg.team_home_prefix	HJEMME
teamcfg.team_away_prefix	UDE
teamcfg.switch_home_away	SKIFT HJEMME / UDE
teamcfg.coach	TRAENER
# COMPETITION ENGINE
stage.league	LIGA
stage.group_prefix	GRUPPE
stage.final	FINALE
stage.semi_final	SEMIFINALE
stage.quarter_final	KVARTFINALE
stage.round_of_16	SIDSTE 16
stage.round_of_32	SIDSTE 32
stage.round_of_prefix	SIDSTE
stage.cup_prefix	POKAL
